# ARMAX Iris Drone Run #20
# Recorded: 2026-05-10 12:05:17.453002
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 501
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,0.014651,-0.02362,-0.317001,-0.132587,0.1337,0.060685,0
0.01,PRE_DROP,0.014067,-0.022506,-0.31686,0.041086,0.097626,0.037555,0
0.02,PRE_DROP,0.015313,-0.021396,-0.316895,0.237188,0.056417,0.387203,0
0.03,PRE_DROP,0.016721,-0.020218,-0.315815,0.082323,0.131527,0.039165,0
0.04,PRE_DROP,0.016957,-0.018875,-0.315543,-0.024453,0.136582,0.017453,0
0.05,PRE_DROP,0.016203,-0.017491,-0.31547,-0.089633,0.138425,0.004688,0
0.06,PRE_DROP,0.015682,-0.016137,-0.315341,-0.021235,0.13332,0.019403,0
0.07,PRE_DROP,0.01561,-0.014664,-0.316101,-0.034328,0.17656,-0.295196,0
0.08,PRE_DROP,0.015478,-0.01331,-0.317947,0.042415,0.082787,0.042999,0
0.09,PRE_DROP,0.016428,-0.012671,-0.316434,0.151349,0.030448,0.375492,0
0.1,PRE_DROP,0.017215,-0.011818,-0.314795,0.013295,0.113224,0.030725,0
0.11,PRE_DROP,0.016765,-0.010659,-0.314606,-0.091822,0.118491,0.009376,0
0.12,PRE_DROP,0.015294,-0.009059,-0.316557,-0.126003,0.191622,-0.312196,0
0.13,PRE_DROP,0.015627,-0.007599,-0.316819,0.144456,0.12508,0.0545,0
0.14,PRE_DROP,0.017494,-0.006302,-0.317102,0.19492,0.103566,0.071477,0
0.15,PRE_DROP,0.018833,-0.005228,-0.316544,0.084935,0.109873,0.045873,0
0.16,PRE_DROP,0.019063,-0.00399,-0.316182,-0.03189,0.11476,0.022261,0
0.17,PRE_DROP,0.018217,-0.002836,-0.316703,-0.088978,0.096095,0.078276,0
0.18,PRE_DROP,0.017584,-0.001776,-0.316532,-0.032762,0.10411,0.024665,0
0.19,PRE_DROP,0.017634,-0.000768,-0.316204,0.035397,0.098421,0.039352,0
0.2,PRE_DROP,0.018007,0.000317,-0.316726,0.042839,0.08331,0.04685,0
0.21,PRE_DROP,0.017846,0.001183,-0.316409,-0.064077,0.088307,0.022125,0
0.22,PRE_DROP,0.01665,0.002098,-0.316301,-0.164633,0.093342,0.001741,0
0.23,PRE_DROP,0.014892,0.003401,-0.31788,-0.066087,0.104258,0.020416,0
0.24,PRE_DROP,0.015484,0.004298,-0.317414,0.160476,0.078621,0.068703,0
0.25,PRE_DROP,0.017137,0.005072,-0.316716,0.131804,0.078998,0.063047,0
0.26,PRE_DROP,0.017864,0.005891,-0.316206,0.024387,0.084152,0.041156,0
0.27,PRE_DROP,0.017531,0.006762,-0.315911,-0.080317,0.089737,0.019853,0
0.28,PRE_DROP,0.016159,0.007839,-0.317361,-0.094224,0.066589,0.023025,0
0.29,PRE_DROP,0.015592,0.008484,-0.317065,-0.025219,0.062277,0.036388,0
0.3,PRE_DROP,0.015705,0.009083,-0.316624,0.0412,0.057785,0.050548,0
0.31,PRE_DROP,0.015979,0.009664,-0.316145,-0.015778,0.059967,0.039069,0
0.32,PRE_DROP,0.015247,0.010295,-0.315871,-0.119973,0.06687,0.017602,0
0.33,PRE_DROP,0.013496,0.011049,-0.316419,-0.162366,0.056015,0.012954,0
0.34,PRE_DROP,0.012723,0.011539,-0.31612,0.02215,0.037666,0.051859,0
0.35,PRE_DROP,0.013382,0.01188,-0.315508,0.063743,0.034235,0.060698,0
0.36,PRE_DROP,0.013434,0.01225,-0.315019,-0.042171,0.039303,0.039262,0
0.37,PRE_DROP,0.012442,0.012675,-0.314743,-0.145433,0.045824,0.017988,0
0.38,PRE_DROP,0.010608,0.01322,-0.315555,-0.14389,0.030102,0.021709,0
0.39,PRE_DROP,0.010291,0.013407,-0.315094,0.070923,0.007276,0.06861,0
0.4,PRE_DROP,0.011672,0.013647,-0.315212,0.168321,0.010925,0.086736,0
0.41,PRE_DROP,0.012755,0.013784,-0.314467,0.059981,0.016248,0.064692,0
0.42,PRE_DROP,0.012767,0.013979,-0.313941,-0.046483,0.02217,0.042872,0
0.43,PRE_DROP,0.011726,0.014365,-0.314256,-0.095145,0.029015,0.033526,0
0.44,PRE_DROP,0.011067,0.014584,-0.313861,-0.040861,0.015448,0.045867,0
0.45,PRE_DROP,0.01097,0.014649,-0.313323,0.014519,-0.000242,0.060039,0
0.46,PRE_DROP,0.011419,0.014566,-0.312646,0.069603,-0.01516,0.074011,0
0.47,PRE_DROP,0.012525,0.014309,-0.311746,0.1272,-0.030839,0.088575,0
0.48,PRE_DROP,0.013897,0.013969,-0.310891,0.171972,-0.043455,0.10008,0
0.49,PRE_DROP,0.014722,0.014364,-0.313891,0.078112,0.022768,-0.229729,0
0.5,PRE_DROP,0.015802,0.014043,-0.314497,0.15275,-0.07185,0.101214,0
0.51,PRE_DROP,0.01778,0.013082,-0.312393,0.247752,-0.133301,0.433941,0
0.52,PRE_DROP,0.019135,0.012576,-0.31156,0.005969,0.026345,-0.247447,0
0.53,PRE_DROP,0.018378,0.012937,-0.313611,-0.133311,0.045428,-0.281173,0
0.54,PRE_DROP,0.017966,0.012681,-0.313013,-0.017802,-0.030868,0.060127,0
0.55,PRE_DROP,0.018104,0.012294,-0.312333,0.039153,-0.045168,0.074384,0
0.56,PRE_DROP,0.018786,0.011772,-0.311518,0.092902,-0.058051,0.087659,0
0.57,PRE_DROP,0.018999,0.011961,-0.313994,0.013086,0.036749,-0.247663,0
0.58,PRE_DROP,0.019153,0.012356,-0.315578,0.045773,0.015971,0.056855,0
0.59,PRE_DROP,0.019588,0.012053,-0.313294,-0.029849,-0.007458,0.053411,0
0.6,PRE_DROP,0.018732,0.012015,-0.312874,-0.131248,-0.000497,0.032574,0
0.61,PRE_DROP,0.01737,0.01193,-0.311638,-0.138748,0.013573,0.028837,0
0.62,PRE_DROP,0.016391,0.01222,-0.311899,-0.050922,0.016496,0.045783,0
0.63,PRE_DROP,0.016258,0.012369,-0.311363,0.017197,0.013337,0.059973,0
0.64,PRE_DROP,0.01607,0.01284,-0.313359,-0.030049,0.03933,-0.255223,0
0.65,PRE_DROP,0.015749,0.012999,-0.315871,-0.033657,-0.002749,-0.248009,0
0.66,PRE_DROP,0.016364,0.012045,-0.313065,0.069722,-0.097945,0.392619,0
0.67,PRE_DROP,0.016886,0.011326,-0.30922,0.037089,-0.051177,0.377976,0
0.68,PRE_DROP,0.017068,0.011074,-0.305886,0.006521,-0.009264,0.364494,0
0.69,PRE_DROP,0.016127,0.011903,-0.307533,-0.113986,0.087399,-0.279266,0
0.7,PRE_DROP,0.015085,0.012486,-0.310011,-0.116875,0.047195,-0.272193,0
0.71,PRE_DROP,0.014655,0.012344,-0.309948,0.0039,-0.025672,0.066566,0
0.72,PRE_DROP,0.015069,0.012076,-0.309206,0.071827,-0.028023,0.080565,0
0.73,PRE_DROP,0.016347,0.011569,-0.306989,0.169278,-0.072724,0.408719,0
0.74,PRE_DROP,0.016262,0.012081,-0.308353,-0.042839,0.040289,0.03862,0
0.75,PRE_DROP,0.015075,0.012837,-0.310878,-0.124934,0.060648,-0.276047,0
0.76,PRE_DROP,0.014672,0.012828,-0.310592,-0.004592,-0.007537,0.061823,0
0.77,PRE_DROP,0.014997,0.012735,-0.309897,0.062452,-0.010401,0.075713,0
0.78,PRE_DROP,0.016187,0.012398,-0.307727,0.159825,-0.056956,0.404259,0
0.79,PRE_DROP,0.016735,0.012474,-0.306766,0.002437,0.015736,0.059539,0
0.8,PRE_DROP,0.015982,0.012871,-0.307625,-0.132929,0.061897,-0.275918,0
0.81,PRE_DROP,0.015493,0.012888,-0.307348,-0.012931,-0.004775,0.060887,0
0.82,PRE_DROP,0.015731,0.012819,-0.306662,0.05385,-0.007962,0.074809,0
0.83,PRE_DROP,0.016435,0.012798,-0.306312,0.034343,0.058616,-0.299497,0
0.84,PRE_DROP,0.016916,0.013015,-0.308874,0.040959,-0.001476,-0.229873,0
0.85,PRE_DROP,0.017736,0.012431,-0.309075,0.170188,-0.137967,0.415212,0
0.86,PRE_DROP,0.019135,0.011403,-0.305617,0.067948,-0.032647,0.095052,0
0.87,PRE_DROP,0.01918,0.011662,-0.305029,-0.044311,0.071638,0.040347,0
0.88,PRE_DROP,0.018066,0.013439,-0.30712,-0.107815,0.233612,-0.298784,0
0.89,PRE_DROP,0.018083,0.015462,-0.307735,0.05572,0.185352,0.037494,0
0.9,PRE_DROP,0.019198,0.017077,-0.305947,0.152186,0.138168,0.366028,0
0.91,PRE_DROP,0.019894,0.018963,-0.304759,0.017397,0.263536,0.015339,0
0.92,PRE_DROP,0.019694,0.022244,-0.303484,-0.011953,0.298624,0.303189,0
0.93,PRE_DROP,0.01936,0.025176,-0.301203,-0.120896,0.404773,-0.102964,0
0.94,PRE_DROP,0.018255,0.030219,-0.305093,-0.089171,0.518813,-0.649705,0
0.95,PRE_DROP,0.018013,0.034899,-0.309274,-0.003089,0.432682,-0.322277,0
0.96,PRE_DROP,0.018095,0.038837,-0.311744,0.042352,0.33405,-0.005982,0
0.97,PRE_DROP,0.018597,0.041854,-0.309441,0.048615,0.303125,0.31485,0
0.98,PRE_DROP,0.018902,0.045104,-0.306366,0.015384,0.344286,0.30106,0
