# ARMAX Iris Drone Run #17
# Recorded: 2026-05-10 12:00:07.642267
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 500
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,-0.148232,-0.043735,-0.193475,0.293867,-0.468687,-0.034933,0
0.01,PRE_DROP,-0.145213,-0.048809,-0.19096,0.253063,-0.506315,0.264933,0
0.02,PRE_DROP,-0.143107,-0.053939,-0.187712,0.216683,-0.546952,0.560537,0
0.03,PRE_DROP,-0.141415,-0.05849,-0.18506,0.184378,-0.411632,0.233385,0
0.04,PRE_DROP,-0.139543,-0.061807,-0.18563,0.247981,-0.312115,-0.074704,0
0.05,PRE_DROP,-0.136923,-0.064603,-0.187917,0.304258,-0.317346,-0.064186,0
0.06,PRE_DROP,-0.133939,-0.068004,-0.188515,0.29087,-0.358823,-0.058595,0
0.07,PRE_DROP,-0.130884,-0.072002,-0.187729,0.314339,-0.435437,0.260641,0
0.08,PRE_DROP,-0.128205,-0.07641,-0.184579,0.232531,-0.414457,0.247107,0
0.09,PRE_DROP,-0.125653,-0.080048,-0.182213,0.278174,-0.32892,0.233606,0
0.1,PRE_DROP,-0.123054,-0.08242,-0.182899,0.24445,-0.161876,-0.401294,0
0.11,PRE_DROP,-0.119949,-0.084558,-0.18459,0.325553,-0.247048,-0.075094,0
0.12,PRE_DROP,-0.116753,-0.087236,-0.18531,0.315994,-0.284255,-0.070225,0
0.13,PRE_DROP,-0.113495,-0.090521,-0.184646,0.331378,-0.368259,0.248782,0
0.14,PRE_DROP,-0.110218,-0.094026,-0.181582,0.329795,-0.304913,0.236946,0
0.15,PRE_DROP,-0.106704,-0.096591,-0.179259,0.368526,-0.218375,0.227492,0
0.16,PRE_DROP,-0.103542,-0.09809,-0.179376,0.27878,-0.129769,-0.102743,0
0.17,PRE_DROP,-0.100861,-0.099589,-0.180445,0.26235,-0.167351,-0.104852,0
0.18,PRE_DROP,-0.0983,-0.101497,-0.18146,0.251698,-0.211196,-0.098868,0
0.19,PRE_DROP,-0.095815,-0.103363,-0.18401,0.330158,-0.205964,-0.086029,0
0.2,PRE_DROP,-0.091319,-0.105723,-0.182057,0.535808,-0.284265,0.569938,0
0.21,PRE_DROP,-0.087648,-0.107375,-0.181824,0.265025,-0.117994,-0.11611,0
0.22,PRE_DROP,-0.085736,-0.108479,-0.18189,0.163611,-0.128636,0.165846,0
0.23,PRE_DROP,-0.084559,-0.109225,-0.183182,0.169628,-0.059816,-0.146868,0
0.24,PRE_DROP,-0.082058,-0.109629,-0.184535,0.315107,-0.024447,-0.125907,0
0.25,PRE_DROP,-0.078347,-0.11016,-0.184377,0.39174,-0.094582,0.196757,0
0.26,PRE_DROP,-0.075015,-0.111096,-0.182458,0.283476,-0.090194,0.180973,0
0.27,PRE_DROP,-0.073358,-0.111706,-0.181258,0.203737,-0.084598,0.164319,0
0.28,PRE_DROP,-0.071878,-0.112321,-0.180369,0.160137,-0.047352,0.147888,0
0.29,PRE_DROP,-0.070457,-0.112054,-0.181633,0.209851,0.047784,-0.161395,0
0.3,PRE_DROP,-0.06761,-0.111423,-0.183135,0.319126,0.065538,-0.14412,0
0.31,PRE_DROP,-0.064475,-0.111019,-0.184543,0.307934,0.020447,-0.138023,0
0.32,PRE_DROP,-0.061289,-0.111398,-0.182727,0.267492,-0.032317,0.164971,0
0.33,PRE_DROP,-0.059238,-0.111696,-0.181203,0.155279,-0.028024,0.142263,0
0.34,PRE_DROP,-0.05831,-0.111349,-0.182133,0.141742,0.019312,0.133017,0
0.35,PRE_DROP,-0.057548,-0.11018,-0.184571,0.029713,0.179085,-0.526317,0
0.36,PRE_DROP,-0.055758,-0.109098,-0.186767,0.318093,-0.006023,0.233114,0
0.37,PRE_DROP,-0.053056,-0.108888,-0.186302,0.26454,0.065861,-0.160001,0
0.38,PRE_DROP,-0.050331,-0.107903,-0.188123,0.233932,0.109928,-0.172343,0
0.39,PRE_DROP,-0.048058,-0.106641,-0.189538,0.285433,0.081644,0.200287,0
0.4,PRE_DROP,-0.045391,-0.105866,-0.18824,0.31514,0.080177,0.149562,0
0.41,PRE_DROP,-0.041453,-0.105294,-0.184948,0.301891,0.102421,0.078193,0
0.42,PRE_DROP,-0.039621,-0.103818,-0.185491,0.10318,0.213768,-0.21901,0
0.43,PRE_DROP,-0.038595,-0.101832,-0.185993,0.134611,0.143658,0.101695,0
0.44,PRE_DROP,-0.036964,-0.100467,-0.184906,0.18634,0.129897,0.114659,0
0.45,PRE_DROP,-0.035063,-0.099374,-0.183815,0.230789,0.114841,0.126479,0
0.46,PRE_DROP,-0.032706,-0.097758,-0.184387,0.183654,0.185123,-0.197413,0
0.47,PRE_DROP,-0.031178,-0.095903,-0.18623,0.158583,0.223153,-0.210395,0
0.48,PRE_DROP,-0.029706,-0.09346,-0.188403,0.135214,0.261865,-0.223116,0
0.49,PRE_DROP,-0.027565,-0.091016,-0.188187,0.193436,0.213028,0.09968,0
0.5,PRE_DROP,-0.026317,-0.089076,-0.187403,0.095803,0.217321,0.078512,0
0.51,PRE_DROP,-0.025961,-0.086652,-0.186682,-0.019576,0.222526,0.055094,0
0.52,PRE_DROP,-0.026915,-0.084097,-0.188202,-0.102984,0.275358,-0.272128,0
0.53,PRE_DROP,-0.026998,-0.08125,-0.190396,0.130614,0.235025,0.14632,0
0.54,PRE_DROP,-0.025724,-0.078638,-0.190605,0.098094,0.292602,-0.239621,0
