# ARMAX Iris Drone Run #16
# Recorded: 2026-05-10 11:56:52.241238
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 500
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,-0.111787,-0.003012,-0.235322,-0.761464,-0.073405,-0.015131,0
0.01,PRE_DROP,-0.119754,-0.003978,-0.233864,-0.783093,-0.033776,-0.0254,0
0.02,PRE_DROP,-0.127073,-0.003972,-0.23421,-0.800977,0.007713,-0.037161,0
0.03,PRE_DROP,-0.134676,-0.004015,-0.234474,-0.725963,-0.011975,-0.017801,0
0.04,PRE_DROP,-0.142179,-0.004247,-0.234551,-0.64559,-0.028471,0.001835,0
0.05,PRE_DROP,-0.147905,-0.004373,-0.235497,-0.663992,0.027781,-0.31615,0
0.06,PRE_DROP,-0.154282,-0.004639,-0.235407,-0.680563,-0.02198,-0.005405,0
0.07,PRE_DROP,-0.161132,-0.005091,-0.233862,-0.66994,-0.059461,0.305567,0
0.08,PRE_DROP,-0.168904,-0.005164,-0.232298,-0.793814,0.103854,-0.40717,0
0.09,PRE_DROP,-0.174712,-0.004764,-0.232574,-0.521208,-0.026902,0.332939,0
0.1,PRE_DROP,-0.179926,-0.004993,-0.230705,-0.451552,-0.007976,0.040226,0
0.11,PRE_DROP,-0.183873,-0.004895,-0.231308,-0.463293,0.041812,-0.275236,0
0.12,PRE_DROP,-0.188013,-0.005144,-0.230137,-0.468641,-0.009596,0.037925,0
0.13,PRE_DROP,-0.193415,-0.005142,-0.231292,-0.429155,-0.032838,0.050594,0
0.14,PRE_DROP,-0.196943,-0.005455,-0.230765,-0.361765,-0.036687,0.064835,0
0.15,PRE_DROP,-0.200133,-0.005843,-0.230023,-0.28525,-0.040882,0.081214,0
0.16,PRE_DROP,-0.202628,-0.006668,-0.225559,-0.241889,-0.052351,0.393611,0
0.17,PRE_DROP,-0.205331,-0.006676,-0.223761,-0.358478,0.029484,0.054637,0
0.18,PRE_DROP,-0.20944,-0.006093,-0.225232,-0.398597,0.081086,-0.264913,0
0.19,PRE_DROP,-0.212537,-0.005117,-0.227734,-0.237453,0.111636,-0.238416,0
0.2,PRE_DROP,-0.214004,-0.004236,-0.228396,-0.159761,0.109735,-0.225866,0
0.21,PRE_DROP,-0.215748,-0.003336,-0.230791,-0.159166,0.059993,-0.213298,0
0.22,PRE_DROP,-0.217262,-0.003046,-0.232487,-0.081222,-0.053244,0.189222,0
0.23,PRE_DROP,-0.217564,-0.003736,-0.228786,-0.039399,-0.065811,0.436437,0
0.24,PRE_DROP,-0.218135,-0.004129,-0.224498,-0.070938,-0.020281,0.422279,0
0.25,PRE_DROP,-0.219326,-0.003834,-0.221283,-0.137774,0.071018,0.092173,0
0.26,PRE_DROP,-0.220655,-0.002963,-0.222082,-0.168058,0.108088,-0.222333,0
0.27,PRE_DROP,-0.222156,-0.002218,-0.223609,-0.154824,0.072766,-0.21417,0
0.28,PRE_DROP,-0.222743,-0.001728,-0.22395,0.015688,0.024486,0.130549,0
0.29,PRE_DROP,-0.222544,-0.001405,-0.223555,0.061411,0.007844,0.142779,0
0.3,PRE_DROP,-0.221953,-0.001046,-0.223913,0.032414,0.040386,-0.170065,0
0.31,PRE_DROP,-0.221464,-0.00104,-0.224382,0.105905,-0.04701,0.163241,0
0.32,PRE_DROP,-0.22103,-0.001126,-0.226024,0.041859,-0.028527,-0.155346,0
0.33,PRE_DROP,-0.219914,-0.001998,-0.224863,0.150754,-0.099116,0.180526,0
0.34,PRE_DROP,-0.217695,-0.003468,-0.219319,0.18058,-0.111714,0.490232,0
0.35,PRE_DROP,-0.216528,-0.003936,-0.216652,0.085479,-0.013725,0.152056,0
0.36,PRE_DROP,-0.216773,-0.003225,-0.219532,-0.047197,0.113972,-0.500636,0
0.37,PRE_DROP,-0.216581,-0.002325,-0.223418,0.112529,0.054586,-0.156604,0
0.38,PRE_DROP,-0.213819,-0.002413,-0.221492,0.326088,-0.012326,0.197599,0
0.39,PRE_DROP,-0.211068,-0.002323,-0.221764,0.29717,-0.043309,0.198929,0
0.4,PRE_DROP,-0.208542,-0.002728,-0.219746,0.174092,-0.033722,0.171807,0
0.41,PRE_DROP,-0.207226,-0.003085,-0.217634,0.126575,-0.021303,0.157451,0
0.42,PRE_DROP,-0.205778,-0.003127,-0.216982,0.145085,0.040814,-0.151801,0
0.43,PRE_DROP,-0.203346,-0.002751,-0.21732,0.336636,0.005266,0.197193,0
0.44,PRE_DROP,-0.200393,-0.002345,-0.217974,0.281233,0.031124,-0.121065,0
0.45,PRE_DROP,-0.197393,-0.00227,-0.219277,0.266018,-0.012489,-0.116117,0
0.46,PRE_DROP,-0.195042,-0.002592,-0.220291,0.25604,-0.053054,-0.110566,0
0.47,PRE_DROP,-0.191333,-0.003979,-0.21638,0.398173,-0.149872,0.537855,0
0.48,PRE_DROP,-0.187542,-0.004673,-0.21352,0.352633,-0.013916,0.20165,0
0.49,PRE_DROP,-0.184895,-0.004776,-0.211811,0.249518,-0.010614,0.180924,0
0.5,PRE_DROP,-0.183378,-0.004288,-0.214331,0.119084,0.076886,-0.466655,0
0.51,PRE_DROP,-0.181517,-0.003773,-0.218302,0.26474,-0.009771,-0.053933,0
0.52,PRE_DROP,-0.179327,-0.003949,-0.219404,0.239534,-0.035954,-0.118925,0
0.53,PRE_DROP,-0.176773,-0.004786,-0.218911,0.251458,-0.116813,0.199728,0
0.54,PRE_DROP,-0.175877,-0.005057,-0.220471,0.008096,0.001085,-0.172394,0
0.55,PRE_DROP,-0.176115,-0.005167,-0.219649,-0.065333,-0.005183,0.115115,0
0.56,PRE_DROP,-0.177399,-0.004866,-0.221278,-0.150361,0.021586,-0.207574,0
0.57,PRE_DROP,-0.177918,-0.00528,-0.219974,-0.022041,-0.042525,0.131046,0
0.58,PRE_DROP,-0.177953,-0.005625,-0.219412,0.044061,-0.072094,0.207366,0
0.59,PRE_DROP,-0.178363,-0.005869,-0.220162,-0.080623,-0.019347,-0.188536,0
0.6,PRE_DROP,-0.179181,-0.006307,-0.221974,-0.082856,-0.062542,-0.177997,0
0.61,PRE_DROP,-0.180028,-0.007172,-0.223711,-0.086664,-0.104711,-0.170827,0
0.62,PRE_DROP,-0.180993,-0.008612,-0.225535,-0.089137,-0.151191,-0.162591,0
0.63,PRE_DROP,-0.181807,-0.010167,-0.22696,-0.091391,-0.188773,-0.155967,0
0.64,PRE_DROP,-0.182741,-0.012288,-0.228474,-0.094481,-0.231092,-0.148632,0
0.65,PRE_DROP,-0.183701,-0.014821,-0.229915,-0.098055,-0.270318,-0.141965,0
0.66,PRE_DROP,-0.184326,-0.018642,-0.226589,-0.053927,-0.368717,0.487169,0
0.67,PRE_DROP,-0.185254,-0.021633,-0.223238,-0.097842,-0.336792,0.473595,0
0.68,PRE_DROP,-0.187582,-0.024173,-0.222935,-0.304285,-0.221652,-0.191891,0
0.69,PRE_DROP,-0.190035,-0.027256,-0.221958,-0.176075,-0.293966,0.149613,0
0.7,PRE_DROP,-0.191847,-0.030019,-0.221765,-0.207114,-0.233984,-0.233479,0
0.71,PRE_DROP,-0.193778,-0.032734,-0.223333,-0.19506,-0.289323,-0.155833,0
0.72,PRE_DROP,-0.195521,-0.03552,-0.224691,-0.191813,-0.324302,-0.148623,0
0.73,PRE_DROP,-0.197058,-0.039252,-0.224438,-0.102424,-0.407627,0.18589,0
0.74,PRE_DROP,-0.197545,-0.043324,-0.221501,0.006332,-0.430227,0.51388,0
0.75,PRE_DROP,-0.197676,-0.047327,-0.216451,-0.028837,-0.378918,0.496474,0
0.76,PRE_DROP,-0.199786,-0.050152,-0.218067,-0.251973,-0.190575,-0.48563,0
0.77,PRE_DROP,-0.201674,-0.051917,-0.222361,-0.176962,-0.19636,-0.471329,0
0.78,PRE_DROP,-0.202009,-0.055016,-0.224036,-0.024861,-0.248564,-0.488703,0
0.79,PRE_DROP,-0.201316,-0.058108,-0.224149,0.105483,-0.391949,0.225785,0
0.8,PRE_DROP,-0.200142,-0.062329,-0.219359,0.109068,-0.412141,0.528711,0
0.81,PRE_DROP,-0.199594,-0.066158,-0.215287,0.04927,-0.343342,0.561089,0
0.82,PRE_DROP,-0.199892,-0.068172,-0.214515,-0.043819,-0.156406,-0.154954,0
0.83,PRE_DROP,-0.199709,-0.069399,-0.216935,0.027718,-0.074575,-0.458265,0
0.84,PRE_DROP,-0.198717,-0.070763,-0.218769,0.109824,-0.163506,-0.121765,0
0.85,PRE_DROP,-0.197568,-0.072845,-0.220061,0.100397,-0.209001,-0.115167,0
0.86,PRE_DROP,-0.196525,-0.075082,-0.22004,0.138348,-0.2944,0.210548,0
0.87,PRE_DROP,-0.19496,-0.078157,-0.215764,0.109116,-0.240149,0.192162,0
0.88,PRE_DROP,-0.193593,-0.080097,-0.213856,0.158222,-0.157307,0.186949,0
0.89,PRE_DROP,-0.192397,-0.080639,-0.216282,0.118531,-0.011046,-0.451466,0
0.9,PRE_DROP,-0.190517,-0.081369,-0.218084,0.19715,-0.101658,-0.118333,0
0.91,PRE_DROP,-0.188413,-0.082754,-0.219346,0.187156,-0.146319,-0.112136,0
0.92,PRE_DROP,-0.186377,-0.084512,-0.218639,0.26801,-0.225069,0.219744,0
0.93,PRE_DROP,-0.183228,-0.086969,-0.213836,0.321111,-0.232591,0.533851,0
0.94,PRE_DROP,-0.180541,-0.088264,-0.211869,0.290418,-0.092637,0.198555,0
0.95,PRE_DROP,-0.17836,-0.088158,-0.214247,0.194855,0.054421,-0.451026,0
0.96,PRE_DROP,-0.175475,-0.088456,-0.215531,0.255006,-0.04761,-0.119245,0
0.97,PRE_DROP,-0.173232,-0.089072,-0.216579,0.243644,-0.084542,-0.114675,0
