# ARMAX Iris Drone Run #18
# Recorded: 2026-05-10 12:01:47.294082
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 501
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,-0.043415,-0.010212,-0.382145,-0.899504,0.021629,0.136858,0
0.01,PRE_DROP,-0.052464,-0.0098,-0.380818,-0.906184,0.058729,0.129618,0
0.02,PRE_DROP,-0.061607,-0.008958,-0.379581,-0.919393,0.103243,0.119569,0
0.03,PRE_DROP,-0.071918,-0.006978,-0.384307,-1.03344,0.182516,-0.519026,0
0.04,PRE_DROP,-0.081969,-0.005492,-0.388724,-0.939772,0.094751,-0.194926,0
0.05,PRE_DROP,-0.090721,-0.004787,-0.38972,-0.801177,0.030497,0.146279,0
0.06,PRE_DROP,-0.098607,-0.004401,-0.387465,-0.749834,0.008484,0.468724,0
0.07,PRE_DROP,-0.106884,-0.004006,-0.384172,-0.890858,0.086945,0.133619,0
0.08,PRE_DROP,-0.116699,-0.002806,-0.382752,-0.899821,0.126951,0.124937,0
0.09,PRE_DROP,-0.125062,-0.001135,-0.383939,-0.907675,0.200362,-0.190674,0
0.1,PRE_DROP,-0.134196,0.000858,-0.387362,-0.854511,0.13579,-0.167799,0
0.11,PRE_DROP,-0.141899,0.001441,-0.387457,-0.671578,-0.013056,0.198801,0
0.12,PRE_DROP,-0.148545,0.001541,-0.386743,-0.710258,0.052387,-0.108248,0
0.13,PRE_DROP,-0.15693,0.002169,-0.38819,-0.805266,0.059379,-0.139888,0
0.14,PRE_DROP,-0.164329,0.00262,-0.389711,-0.726246,-0.034247,0.187267,0
0.15,PRE_DROP,-0.170667,0.00189,-0.387488,-0.559999,-0.103493,0.242867,0
0.16,PRE_DROP,-0.176064,0.001037,-0.387558,-0.581324,-0.040115,-0.373264,0
0.17,PRE_DROP,-0.181609,0.000109,-0.389888,-0.536961,-0.155241,-0.042827,0
0.18,PRE_DROP,-0.187472,-0.002404,-0.389269,-0.527348,-0.266606,-0.017658,0
0.19,PRE_DROP,-0.191186,-0.005459,-0.386924,-0.370004,-0.352158,0.325834,0
0.2,PRE_DROP,-0.195131,-0.00864,-0.384356,-0.460564,-0.261898,0.008809,0
0.21,PRE_DROP,-0.200488,-0.010953,-0.385845,-0.589063,-0.205604,-0.339316,0
0.22,PRE_DROP,-0.205431,-0.0145,-0.384097,-0.347493,-0.380274,0.343906,0
0.23,PRE_DROP,-0.20819,-0.017907,-0.38217,-0.298239,-0.35802,0.049859,0
0.24,PRE_DROP,-0.210975,-0.021391,-0.382246,-0.263721,-0.36302,0.0516,0
0.25,PRE_DROP,-0.214121,-0.025,-0.381758,-0.358407,-0.357978,0.038079,0
0.26,PRE_DROP,-0.218135,-0.028398,-0.382987,-0.351767,-0.375132,0.042461,0
0.27,PRE_DROP,-0.221219,-0.03217,-0.382449,-0.274241,-0.378641,0.059445,0
0.28,PRE_DROP,-0.223568,-0.035953,-0.381761,-0.200799,-0.378226,0.074073,0
0.29,PRE_DROP,-0.224989,-0.040083,-0.378054,-0.151326,-0.398546,0.389297,0
0.3,PRE_DROP,-0.227494,-0.043411,-0.377227,-0.29888,-0.324794,0.045679,0
0.31,PRE_DROP,-0.231055,-0.046491,-0.377552,-0.397391,-0.259118,-0.280372,0
0.32,PRE_DROP,-0.233279,-0.049624,-0.377199,-0.113005,-0.328776,0.083693,0
0.33,PRE_DROP,-0.233515,-0.053014,-0.376504,-0.047368,-0.308096,-0.206579,0
0.34,PRE_DROP,-0.233896,-0.057021,-0.375565,-0.080809,-0.365141,0.097515,0
0.35,PRE_DROP,-0.235091,-0.060261,-0.374773,-0.174056,-0.356575,0.077841,0
0.36,PRE_DROP,-0.236938,-0.063549,-0.374103,-0.214589,-0.244704,-0.245959,0
0.37,PRE_DROP,-0.238257,-0.065798,-0.3765,-0.0624,-0.208864,-0.229877,0
0.38,PRE_DROP,-0.237779,-0.068359,-0.375719,0.082506,-0.261512,0.109674,0
0.39,PRE_DROP,-0.236944,-0.071218,-0.374517,0.030184,-0.257282,0.098731,0
0.4,PRE_DROP,-0.236998,-0.073605,-0.373014,0.00581,-0.298686,0.396764,0
0.41,PRE_DROP,-0.237023,-0.075313,-0.37061,-0.011728,-0.273267,0.395103,0
0.42,PRE_DROP,-0.237776,-0.076702,-0.373163,-0.004722,-0.124869,-0.234075,0
0.43,PRE_DROP,-0.236634,-0.078128,-0.373677,0.206731,-0.171712,0.117012,0
0.44,PRE_DROP,-0.234972,-0.079478,-0.375115,0.151771,-0.140625,-0.200888,0
0.45,PRE_DROP,-0.233324,-0.081478,-0.373912,0.112892,-0.196046,0.103039,0
0.46,PRE_DROP,-0.232549,-0.083555,-0.371961,0.087931,-0.237273,0.410277,0
0.47,PRE_DROP,-0.232302,-0.085162,-0.370663,-0.022181,-0.070361,-0.250962,0
0.48,PRE_DROP,-0.231686,-0.085705,-0.373011,0.12811,-0.039469,-0.224914,0
