# ARMAX Iris Drone Run #14
# Recorded: 2026-05-10 11:31:03.080632
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 501
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,0.006373,0.009234,-0.023975,0.010095,-0.024449,0.120227,0
0.01,PRE_DROP,0.00767,0.009108,-0.023274,0.184974,-0.001614,0.143598,0
0.02,PRE_DROP,0.008875,0.009113,-0.022712,0.058066,0.001645,0.124396,0
0.03,PRE_DROP,0.008581,0.009199,-0.021576,-0.10039,0.014433,0.104914,0
0.04,PRE_DROP,0.007091,0.009339,-0.023353,-0.147157,-0.00522,0.091173,0
0.05,PRE_DROP,0.006504,0.008959,-0.01825,0.006653,-0.053321,0.500646,0
0.06,PRE_DROP,0.006098,0.008679,-0.01912,-0.07273,-0.028072,-0.266495,0
0.07,PRE_DROP,0.005072,0.008213,-0.021811,-0.126123,-0.060842,-0.27132,0
0.08,PRE_DROP,0.003511,0.007417,-0.024552,-0.180849,-0.095692,-0.276331,0
0.09,PRE_DROP,0.001906,0.006435,-0.026157,-0.128093,-0.072424,-0.271667,0
0.1,PRE_DROP,0.001458,0.005955,-0.026949,0.01867,-0.049333,0.121405,0
0.11,PRE_DROP,0.002649,0.005238,-0.022826,0.062023,-0.049678,0.126175,0
0.12,PRE_DROP,0.002497,0.004853,-0.021759,-0.080927,-0.036835,0.110573,0
0.13,PRE_DROP,0.000497,0.004566,-0.022639,-0.248494,-0.024669,-0.288249,0
0.14,PRE_DROP,-0.000599,0.00416,-0.021495,-0.012151,-0.035795,0.119089,0
0.15,PRE_DROP,4.8e-05,0.003966,-0.021981,0.081374,0.007184,-0.609994,0
0.16,PRE_DROP,0.001207,0.003719,-0.023803,0.089429,-0.043901,0.134944,0
0.17,PRE_DROP,0.001288,0.003386,-0.022715,-0.05445,-0.031706,0.1132,0
0.18,PRE_DROP,-0.000283,0.003125,-0.022345,-0.163143,-0.026893,0.102082,0
0.19,PRE_DROP,-0.001205,0.002934,-0.021261,-6.5e-05,-0.013942,0.119235,0
0.2,PRE_DROP,-0.000369,0.002856,-0.02009,0.131135,-0.003234,0.134409,0
0.21,PRE_DROP,0.000447,0.002868,-0.02254,0.042225,-0.014114,-0.254096,0
