# ARMAX Iris Drone Run #15
# Recorded: 2026-05-10 11:33:20.702417
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 501
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,-0.008591,-0.001704,-0.020718,0.046887,-0.074039,0.123945,0
0.01,PRE_DROP,-0.009,-0.002372,-0.019586,-0.111238,-0.061489,0.10458,0
0.02,PRE_DROP,-0.010846,-0.00293,-0.01931,-0.145168,-0.081601,0.557493,0
0.03,PRE_DROP,-0.011763,-0.003636,-0.01755,-0.003981,-0.063734,0.118258,0
0.04,PRE_DROP,-0.010797,-0.00414,-0.017458,0.147893,-0.024284,-0.248004,0
0.05,PRE_DROP,-0.008936,-0.004313,-0.01865,0.204094,-0.041637,0.21532,0
0.06,PRE_DROP,-0.007886,-0.004616,-0.017368,0.032654,-0.024308,0.119876,0
0.07,PRE_DROP,-0.008416,-0.004807,-0.018915,-0.043493,-0.048546,0.185978,0
0.08,PRE_DROP,-0.008804,-0.005002,-0.019688,0.039719,-0.008809,0.202629,0
0.09,PRE_DROP,-0.007612,-0.004884,-0.019559,0.178162,0.020173,0.138219,0
0.1,PRE_DROP,-0.006095,-0.004565,-0.020594,0.11673,0.028004,-0.251914,0
0.11,PRE_DROP,-0.005223,-0.004479,-0.020046,0.024797,0.010112,0.116053,0
0.12,PRE_DROP,-0.005934,-0.004278,-0.021342,-0.121377,0.015142,-0.27978,0
0.13,PRE_DROP,-0.006567,-0.004551,-0.019819,-0.008459,-0.035918,0.113124,0
0.14,PRE_DROP,-0.005534,-0.004832,-0.018989,0.152859,-0.004525,-0.31935,0
0.15,PRE_DROP,-0.003507,-0.004851,-0.018288,0.156139,0.002387,0.13253,0
0.16,PRE_DROP,-0.002841,-0.004757,-0.017073,-0.005416,0.015172,0.112633,0
0.17,PRE_DROP,-0.003795,-0.004533,-0.019151,-0.129218,0.011293,-0.280195,0
0.18,PRE_DROP,-0.004273,-0.004615,-0.018752,0.049219,-0.007644,0.120412,0
0.19,PRE_DROP,-0.002732,-0.004583,-0.018179,0.249507,0.010641,0.213402,0
0.2,PRE_DROP,-0.000517,-0.004383,-0.017925,0.194053,0.011642,0.138358,0
0.21,PRE_DROP,0.000536,-0.004186,-0.016673,0.032581,0.025268,0.116436,0
0.22,PRE_DROP,8e-06,-0.003879,-0.018254,-0.043116,0.000591,0.182633,0
0.23,PRE_DROP,-0.000219,-0.003544,-0.019059,0.068934,0.041673,0.121468,0
0.24,PRE_DROP,0.001559,-0.003069,-0.017738,0.23876,0.053322,0.139187,0
0.25,PRE_DROP,0.003531,-0.002486,-0.019041,0.207897,0.028592,0.210484,0
0.26,PRE_DROP,0.004611,-0.002086,-0.017807,0.03533,0.045354,0.115016,0
0.27,PRE_DROP,0.004111,-0.00158,-0.019403,-0.039866,0.020536,0.181301,0
0.28,PRE_DROP,0.004329,-0.00153,-0.018251,0.11306,0.007257,0.126609,0
0.29,PRE_DROP,0.006312,-0.00141,-0.018019,0.25435,0.001809,0.147793,0
0.3,PRE_DROP,0.008375,-0.001302,-0.017107,0.092446,0.035225,-0.338751,0
0.31,PRE_DROP,0.008286,-0.001283,-0.017798,-0.076319,-0.019234,0.038864,0
0.32,PRE_DROP,0.007772,-0.001452,-0.01671,-0.0393,-0.012681,0.109659,0
0.33,PRE_DROP,0.007523,-0.001535,-0.015597,-0.013145,-0.004255,0.11253,0
0.34,PRE_DROP,0.007535,-0.00153,-0.014456,0.012722,0.004045,0.115384,0
0.35,PRE_DROP,0.007749,-0.001419,-0.013747,-0.012323,0.034088,-0.34119,0
0.36,PRE_DROP,0.007377,-0.00135,-0.016429,-0.063971,-0.011562,-0.27121,0
0.37,PRE_DROP,0.006798,-0.001705,-0.016785,-0.037936,-0.042569,0.111579,0
0.38,PRE_DROP,0.006563,-0.002082,-0.015654,-0.011846,-0.0332,0.114456,0
0.39,PRE_DROP,0.006588,-0.002366,-0.014493,0.014043,-0.024491,0.117248,0
0.4,PRE_DROP,0.006866,-0.00256,-0.013306,0.039072,-0.015425,0.119947,0
0.41,PRE_DROP,0.007391,-0.002665,-0.012092,0.063333,-0.006309,0.122535,0
0.42,PRE_DROP,0.008154,-0.00268,-0.010853,0.086921,0.002315,0.125026,0
0.43,PRE_DROP,0.008993,-0.002536,-0.010816,0.05105,0.039618,-0.263518,0
0.44,PRE_DROP,0.009079,-0.001778,-0.014689,-0.028213,0.10561,-0.653608,0
0.45,PRE_DROP,0.009515,-0.001022,-0.016433,0.087679,0.033388,0.121878,0
0.46,PRE_DROP,0.010376,-0.00108,-0.016394,0.054273,-0.022585,-0.260689,0
0.47,PRE_DROP,0.010647,-0.001504,-0.018234,-0.03424,-0.041839,-0.336735,0
0.48,PRE_DROP,0.010684,-0.002146,-0.017743,0.021553,-0.061095,0.119292,0
0.49,PRE_DROP,0.011059,-0.00267,-0.016535,0.050596,-0.045706,0.122089,0
0.5,PRE_DROP,0.011666,-0.003016,-0.01576,0.028349,-0.008579,-0.334573,0
0.51,PRE_DROP,0.011713,-0.00333,-0.018378,-0.020685,-0.04639,-0.264759,0
0.52,PRE_DROP,0.011352,-0.004009,-0.019831,-0.017238,-0.085478,0.119582,0
