# ARMAX Iris Drone Run #13
# Recorded: 2026-05-10 11:29:22.688184
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 501
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,0.011741,-0.136046,-0.019379,0.101042,-0.610722,0.164353,0
0.01,PRE_DROP,0.011875,-0.142075,-0.017845,-0.05457,-0.595858,0.14505,0
0.02,PRE_DROP,0.010479,-0.147867,-0.017326,-0.182592,-0.552613,-0.241467,0
0.03,PRE_DROP,0.009395,-0.153026,-0.019773,-0.051218,-0.486114,-0.239344,0
0.04,PRE_DROP,0.0096,-0.157521,-0.022108,0.078722,-0.420737,-0.228412,0
0.05,PRE_DROP,0.011032,-0.161697,-0.020848,0.138446,-0.409371,0.155935,0
0.06,PRE_DROP,0.011538,-0.165708,-0.019398,-0.021843,-0.394852,0.136212,0
0.07,PRE_DROP,0.010481,-0.169551,-0.018141,-0.154356,-0.374075,0.119422,0
0.08,PRE_DROP,0.00921,-0.172933,-0.019586,-0.034022,-0.327309,0.114385,0
0.09,PRE_DROP,0.009842,-0.176018,-0.019752,0.113528,-0.279894,-0.231792,0
0.1,PRE_DROP,0.011576,-0.178684,-0.02006,0.174992,-0.270865,0.136521,0
0.11,PRE_DROP,0.012445,-0.181316,-0.018649,0.014653,-0.256543,0.131936,0
0.12,PRE_DROP,0.011721,-0.183796,-0.017436,-0.142156,-0.24135,0.112691,0
0.13,PRE_DROP,0.010181,-0.185936,-0.018232,-0.074269,-0.201137,0.102046,0
0.14,PRE_DROP,0.010534,-0.187846,-0.017742,0.092203,-0.167576,-0.232522,0
0.15,PRE_DROP,0.01201,-0.189231,-0.020118,0.155301,-0.133571,-0.236819,0
0.16,PRE_DROP,0.013219,-0.190734,-0.019048,0.052734,-0.145531,0.129572,0
0.17,PRE_DROP,0.012866,-0.192114,-0.017861,-0.105679,-0.132174,0.110142,0
0.18,PRE_DROP,0.011347,-0.193282,-0.01916,-0.131747,-0.093753,-0.27253,0
0.19,PRE_DROP,0.010845,-0.193927,-0.020995,0.045941,-0.054888,0.106783,0
0.2,PRE_DROP,0.01207,-0.194412,-0.019675,0.14444,-0.041787,0.134154,0
0.21,PRE_DROP,0.01303,-0.194792,-0.019149,0.037453,-0.037375,0.121103,0
0.22,PRE_DROP,0.012653,-0.195072,-0.018147,-0.104941,-0.026447,0.103646,0
0.23,PRE_DROP,0.010832,-0.195044,-0.01982,-0.13743,0.035948,-0.28207,0
0.24,PRE_DROP,0.010405,-0.194469,-0.020963,0.059902,0.06209,0.116786,0
0.25,PRE_DROP,0.011691,-0.193631,-0.021673,0.137369,0.098727,-0.245037,0
0.26,PRE_DROP,0.012779,-0.192846,-0.021521,0.053247,0.076313,0.115599,0
0.27,PRE_DROP,0.012537,-0.192103,-0.020568,-0.089486,0.088065,0.098051,0
