# ARMAX Iris Drone Run #2
# Recorded: 2026-05-09 12:40:59.149735
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 501
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,-0.003723,-0.005531,-0.003178,-0.02853,-0.02152,0.0003,0
0.01,PRE_DROP,-0.004008,-0.005742,-0.003175,-0.028201,-0.021002,0.000307,0
0.02,PRE_DROP,-0.004256,-0.005932,-0.003172,-0.027068,-0.021048,0.000313,0
0.03,PRE_DROP,-0.004551,-0.00616,-0.003169,-0.026231,-0.020794,0.00032,0
0.04,PRE_DROP,-0.004776,-0.006345,-0.007315,-0.022419,-0.020358,-0.800979,0
0.05,PRE_DROP,-0.004772,-0.00685,-0.006705,-0.022975,-0.071034,0.399622,0
0.06,PRE_DROP,-0.005389,-0.007744,-0.000228,-0.072669,-0.09363,0.801183,0
0.07,PRE_DROP,-0.006045,-0.008294,0.000438,-0.071958,-0.021711,0.001194,0
0.08,PRE_DROP,-0.006477,-0.008214,-0.002827,-0.001724,0.000838,-0.399627,0
0.09,PRE_DROP,-0.006062,-0.008431,-0.006428,0.084115,-0.043806,-0.400416,0
0.1,PRE_DROP,-0.005363,-0.008797,-0.006758,0.100646,-0.052203,-0.000458,0
0.11,PRE_DROP,-0.005416,-0.00932,-0.006273,-0.087112,-0.052549,0.488399,0
0.12,PRE_DROP,-0.006439,-0.009933,-0.005964,-0.102257,-0.061055,-0.000237,0
0.13,PRE_DROP,-0.007111,-0.010359,-0.002289,-0.027578,-0.020241,0.400671,0
0.14,PRE_DROP,-0.007042,-0.010365,-0.000752,0.01487,0.003913,0.000981,0
0.15,PRE_DROP,-0.006894,-0.010326,-0.000743,0.014728,0.003825,0.000929,0
0.16,PRE_DROP,-0.006751,-0.010288,-0.000734,0.014014,0.003833,0.000926,0
0.17,PRE_DROP,-0.006612,-0.01025,-0.000724,0.013771,0.003766,0.000922,0
0.18,PRE_DROP,-0.006463,-0.010209,-0.000714,0.013463,0.003705,0.000918,0
0.19,PRE_DROP,-0.006345,-0.010176,-0.001195,0.01283,0.003714,-0.487901,0
0.2,PRE_DROP,-0.006691,-0.009752,-0.002631,-0.037312,0.073702,0.383286,0
0.21,PRE_DROP,-0.00648,-0.008944,-0.001974,0.090821,0.092558,-0.47845,0
0.22,PRE_DROP,-0.005068,-0.00831,-0.005488,0.181746,0.040977,0.078862,0
0.23,PRE_DROP,-0.00375,-0.007976,-0.004294,0.03462,0.02611,2.3e-05,0
0.24,PRE_DROP,-0.00424,-0.007757,-0.00302,-0.110649,0.015531,0.402652,0
0.25,PRE_DROP,-0.005559,-0.007716,-0.001503,-0.11707,0.011724,-0.0857,0
0.26,PRE_DROP,-0.005592,-0.007596,-0.00148,0.089625,0.010872,0.000694,0
0.27,PRE_DROP,-0.004399,-0.007432,-0.000672,0.135916,0.020801,0.000894,0
0.28,PRE_DROP,-0.003241,-0.007021,-0.004341,0.062107,0.060686,-0.400102,0
0.29,PRE_DROP,-0.003101,-0.006408,-0.002995,-0.022336,0.05411,0.400301,0
0.3,PRE_DROP,-0.003617,-0.005964,-0.002263,-0.047952,0.039375,0.000464,0
0.31,PRE_DROP,-0.004093,-0.005576,-0.002258,-0.047523,0.038268,0.000477,0
0.32,PRE_DROP,-0.00451,-0.005229,-0.002254,-0.045303,0.038637,0.000487,0
0.33,PRE_DROP,-0.005005,-0.004811,-0.002248,-0.044336,0.037831,0.000499,0
0.34,PRE_DROP,-0.005442,-0.004435,-0.002243,-0.043435,0.037153,0.00051,0
0.35,PRE_DROP,-0.005824,-0.004101,-0.002239,-0.041757,0.037222,0.000519,0
0.36,PRE_DROP,-0.006278,-0.003696,-0.002233,-0.041016,0.036343,0.00053,0
0.37,PRE_DROP,-0.006678,-0.003331,-0.002228,-0.039452,0.036264,0.00054,0
0.38,PRE_DROP,-0.007029,-0.003008,-0.002223,-0.038658,0.035734,0.000549,0
0.39,PRE_DROP,-0.007445,-0.002615,-0.002217,-0.037692,0.03512,0.000559,0
0.4,PRE_DROP,-0.007242,-0.002298,-0.002701,0.093656,0.035351,-0.488257,0
