# ARMAX Iris Drone Run #3
# Recorded: 2026-05-09 12:42:38.403948
# Sample rate: 100 Hz (Ts = 0.01s)
# Pre-drop hover: 5.0s
# Post-drop log:  25.0s
# Drop sample idx: 501
# MATLAB: y=roll_deg, u=drop_event, Ts=0.01
#
time_s,phase,roll_deg,pitch_deg,yaw_deg,rollspeed_deg_s,pitchspeed_deg_s,yawspeed_deg_s,drop_event
0.0,PRE_DROP,0.002392,7.8e-05,-0.00975,-0.075058,-0.088542,-0.396697,0
0.01,PRE_DROP,0.001418,-0.000664,-0.010489,-0.098607,-0.07246,-0.001072,0
0.02,PRE_DROP,0.000454,-0.001388,-0.0105,-0.095645,-0.071765,-0.001047,0
0.03,PRE_DROP,-0.000485,-0.002103,-0.01051,-0.091699,-0.071712,-0.001024,0
0.04,PRE_DROP,-0.001397,-0.00281,-0.01052,-0.091004,-0.069797,-0.001,0
0.05,PRE_DROP,-0.002281,-0.003511,-0.01053,-0.086832,-0.07,-0.000979,0
0.06,PRE_DROP,-0.003144,-0.004202,-0.01054,-0.084811,-0.068953,-0.000958,0
0.07,PRE_DROP,-0.003979,-0.004887,-0.010549,-0.08324,-0.067683,-0.000936,0
0.08,PRE_DROP,-0.00479,-0.005565,-0.010558,-0.079246,-0.068006,-0.000916,0
0.09,PRE_DROP,-0.005581,-0.006234,-0.010567,-0.078537,-0.066246,-0.000896,0
0.1,PRE_DROP,-0.006092,-0.006752,-0.007299,-0.01328,-0.030393,0.399922,0
0.11,PRE_DROP,-0.006182,-0.007028,-0.0061,-0.026382,-0.036775,0.404556,0
0.12,PRE_DROP,-0.007031,-0.007595,-0.005442,-0.13819,-0.053894,-0.402137,0
0.13,PRE_DROP,-0.008496,-0.008061,-0.008242,-0.116077,-0.060829,-0.400542,0
0.14,PRE_DROP,-0.00872,-0.008703,-0.008172,0.061057,-0.063737,-0.000298,0
0.15,PRE_DROP,-0.008274,-0.008985,-0.007373,0.093934,-0.05302,-0.004277,0
0.16,PRE_DROP,-0.007615,-0.009374,-0.010651,0.02762,-0.017584,-0.400969,0
0.17,PRE_DROP,-0.008173,-0.009558,-0.008512,-0.110713,-0.033802,0.39982,0
0.18,PRE_DROP,-0.00925,-0.009883,-0.006514,-0.079715,-0.016787,0.400285,0
0.19,PRE_DROP,-0.009549,-0.009776,-0.002507,0.009944,0.033185,0.401095,0
0.2,PRE_DROP,-0.009226,-0.009322,-0.001768,0.034451,0.046246,0.001133,0
0.21,PRE_DROP,-0.00889,-0.008858,-0.001757,0.033081,0.046161,0.001123,0
0.22,PRE_DROP,-0.008564,-0.0084,-0.001746,0.032004,0.045809,0.001115,0
0.23,PRE_DROP,-0.008247,-0.007947,-0.001735,0.031653,0.044692,0.001106,0
0.24,PRE_DROP,-0.007939,-0.007498,-0.001724,0.030083,0.044974,0.001098,0
0.25,PRE_DROP,-0.007639,-0.007056,-0.001713,0.029658,0.043979,0.00109,0
0.26,PRE_DROP,-0.007349,-0.006616,-0.001702,0.028823,0.043494,0.001082,0
0.27,PRE_DROP,-0.007066,-0.006183,-0.001692,0.027587,0.043533,0.001075,0
0.28,PRE_DROP,-0.006792,-0.005754,-0.001681,0.027395,0.042335,0.001068,0
0.29,PRE_DROP,-0.006526,-0.005329,-0.00167,0.026163,0.042445,0.001061,0
0.3,PRE_DROP,-0.006266,-0.004909,-0.00166,0.02551,0.041867,0.001054,0
0.31,PRE_DROP,-0.006014,-0.004493,-0.001649,0.025081,0.041034,0.001047,0
0.32,PRE_DROP,-0.00577,-0.004082,-0.001639,0.023866,0.041267,0.001041,0
0.33,PRE_DROP,-0.005532,-0.003676,-0.001629,0.023634,0.040212,0.001035,0
0.34,PRE_DROP,-0.005302,-0.003274,-0.001618,0.022798,0.040006,0.001028,0
0.35,PRE_DROP,-0.004974,-0.002929,-0.003683,0.061628,0.019009,-0.399733,0
0.36,PRE_DROP,-0.00394,-0.002673,-0.005609,0.116895,0.060423,0.000206,0
0.37,PRE_DROP,-0.00309,-0.001681,-0.00761,0.028823,0.11395,0.001864,0
0.38,PRE_DROP,-0.003403,-0.00079,-0.003536,-0.074202,0.0663,0.400645,0
0.39,PRE_DROP,-0.004017,-0.000171,-0.003603,-0.003591,0.061258,0.000563,0
0.4,PRE_DROP,-0.003108,0.000441,-0.003598,0.137392,0.061395,0.000546,0
0.41,PRE_DROP,-0.00174,0.001046,-0.003592,0.136211,0.059802,0.000511,0
0.42,PRE_DROP,-0.000509,0.001699,-0.005662,0.094135,0.080513,-0.400272,0
0.43,PRE_DROP,0.000349,0.002538,-0.005589,0.084295,0.083834,1.4e-05,0
0.44,PRE_DROP,0.001182,0.00337,-0.005589,0.083107,0.081991,-8e-06,0
0.45,PRE_DROP,0.001991,0.004192,-0.005589,0.079027,0.082479,-2.8e-05,0
0.46,PRE_DROP,0.002701,0.004923,-0.00559,0.078769,0.08024,-4.6e-05,0
0.47,PRE_DROP,0.003439,0.005755,-0.003516,0.035574,0.059215,0.400595,0
0.48,PRE_DROP,0.003366,0.006124,-0.00158,-0.020583,0.030019,0.000713,0
0.49,PRE_DROP,0.003161,0.00642,-0.001572,-0.020399,0.029185,0.000828,0
0.5,PRE_DROP,0.003139,0.006622,-0.002766,0.008721,0.014314,0.000699,0
0.51,PRE_DROP,0.003226,0.006763,-0.00276,0.008531,0.014081,0.000587,0
0.52,PRE_DROP,0.00331,0.006903,-0.002754,0.00835,0.013846,0.000584,0
0.53,PRE_DROP,0.003391,0.007041,-0.002748,0.007977,0.013903,0.000582,0
0.54,PRE_DROP,0.003471,0.007178,-0.002742,0.007897,0.013537,0.00058,0
0.55,PRE_DROP,0.003548,0.007314,-0.002737,0.007599,0.013506,0.000578,0
0.56,PRE_DROP,0.003623,0.007448,-0.002731,0.007357,0.013406,0.000576,0
0.57,PRE_DROP,0.003695,0.007581,-0.002725,0.007264,0.013081,0.000573,0
0.58,PRE_DROP,0.003766,0.007712,-0.002719,0.006924,0.013162,0.000572,0
0.59,PRE_DROP,0.003835,0.007841,-0.002714,0.006817,0.012873,0.00057,0
0.6,PRE_DROP,0.003902,0.00797,-0.002708,0.006628,0.012727,0.000568,0
0.61,PRE_DROP,0.003967,0.008097,-0.002702,0.006353,0.012745,0.000566,0
0.62,PRE_DROP,0.004348,0.008062,-0.007575,0.036775,-0.001462,-0.398509,0
0.63,PRE_DROP,0.003782,0.008089,-0.007508,-0.138114,0.002734,-0.000477,0
0.64,PRE_DROP,0.002203,0.008066,-0.003506,-0.113853,0.002804,-0.001882,0
0.65,PRE_DROP,0.002087,0.008094,-0.003501,0.07172,0.002728,0.000465,0
0.66,PRE_DROP,0.003258,0.008121,-0.003496,0.119077,0.002669,0.000439,0
0.67,PRE_DROP,0.003594,0.008148,-0.003492,-0.050216,0.002635,0.000423,0
0.68,PRE_DROP,0.002633,0.008174,-0.003488,-0.099706,0.002637,0.000446,0
0.69,PRE_DROP,0.00165,0.0082,-0.003483,-0.09614,0.002665,0.000468,0
0.7,PRE_DROP,0.000696,0.008226,-0.003478,-0.09517,0.002495,0.000493,0
0.71,PRE_DROP,-0.000228,0.008252,-0.003473,-0.090613,0.002614,0.000515,0
0.72,PRE_DROP,-0.00113,0.008277,-0.003468,-0.088996,0.002505,0.000537,0
0.73,PRE_DROP,-0.002003,0.008302,-0.003463,-0.0868,0.002445,0.00056,0
0.74,PRE_DROP,-0.002853,0.008327,-0.003457,-0.082924,0.002538,0.000579,0
0.75,PRE_DROP,-0.003679,0.008351,-0.003451,-0.082259,0.002359,0.0006,0
0.76,PRE_DROP,-0.004479,0.008376,-0.003445,-0.078801,0.002428,0.00062,0
